,Date,days hour min sec,Distance 1,Distance 2,Distance 3,keystrokes,left,right,middle,double,wheel,x1 btn,x2 btn,idle days hour min sec
119,2020 ago. 04 00:00:17,3 days 22 hours 54 min 36 sec,1 km,782 m,45 cm,17760,5449,355,23,675,12241,0,0,1 days 7 hours 44 min 17 sec
120,2020 ago. 05 09:44:25,4 days 22 hours 33 min 46 sec,2 km,695 m,11 cm,27601,8517,401,25,901,22861,0,0,2 days 1 hours 4 min 57 sec
121,2020 ago. 06 08:02:58,5 days 20 hours 52 min 18 sec,3 km,628 m,24 cm,42187,12412,457,26,1301,30242,0,0,2 days 9 hours 39 min 9 sec
122,2020 ago. 07 00:09:32,6 days 12 hours 58 min 52 sec,4 km,772 m,91 cm,55799,15999,492,32,1608,39087,0,0,3 days 1 hours 57 min 9 sec
123,2020 ago. 08 00:00:34,7 days 12 hours 49 min 54 sec,6 km,960 m,62 cm,75443,22228,4622,34,3846,53907,0,0,3 days 16 hours 5 min 44 sec
124,2020 ago. 09 11:02:16,7 days 16 hours 50 min 58 sec,7 km,51 m,16 cm,75756,22351,4943,34,3981,53908,0,0,4 days 13 hours 33 min 6 sec
125,2020 ago. 09 15:01:35,7 days 20 hours 46 min 57 sec,7 km,198 m,26 cm,78982,22923,4943,35,4004,55755,0,0,4 days 16 hours 1 min 51 sec
126,2020 ago. 10 00:12:32,8 days 5 hours 57 min 53 sec,8 km,535 m,93 cm,82360,25525,6790,35,4811,56229,0,0,4 days 22 hours 39 min 16 sec
127,2020 ago. 11 07:53:39,9 days 13 hours 39 min 1 sec,9 km,789 m,28 cm,102937,29590,6809,39,5000,67274,0,0,5 days 22 hours 6 min 38 sec
128,2020 ago. 12 08:08:09,10 days 13 hours 53 min 30 sec,11 km,65 m,43 cm,109349,33074,6863,47,5301,78012,0,0,6 days 15 hours 5 min 59 sec
129,2020 ago. 13 01:49:31,11 days 7 hours 34 min 53 sec,12 km,123 m,83 cm,123675,36614,6891,49,5640,89526,0,0,6 days 23 hours 51 min 29 sec
130,2020 ago. 14 00:00:06,12 days 5 hours 43 min 42 sec,13 km,30 m,51 cm,136929,40150,6923,52,5967,99191,0,0,7 days 15 hours 19 min 18 sec
131,2020 ago. 15 00:00:35,13 days 5 hours 44 min 12 sec,14 km,789 m,29 cm,153669,43850,6976,52,6259,108474,0,0,8 days 5 hours 1 min 25 sec
132,2020 ago. 16 00:00:31,13 days 18 hours 43 min 41 sec,16 km,152 m,19 cm,157837,45967,7981,58,6780,111608,0,0,8 days 13 hours 11 min 56 sec
133,2020 ago. 18 08:04:54,14 days 13 hours 24 min 32 sec,17 km,74 m,78 cm,160326,46840,7985,67,6818,116014,0,0,10 days 15 hours 48 min 51 sec
134,2020 ago. 19 01:56:31,15 days 7 hours 16 min 8 sec,17 km,783 m,18 cm,174624,49024,8017,71,6990,123529,0,0,11 days 4 hours 26 min 18 sec
135,2020 ago. 20 08:01:19,16 days 13 hours 20 min 56 sec,19 km,65 m,94 cm,194518,52902,8080,76,7313,130815,0,0,12 days 2 hours 11 min 29 sec
136,2020 ago. 21 00:00:18,17 days 5 hours 19 min 55 sec,20 km,148 m,27 cm,206915,55775,8090,81,7491,137423,0,0,12 days 10 hours 57 min 52 sec
137,2020 ago. 22 11:56:14,18 days 3 hours 15 min 11 sec,20 km,970 m,93 cm,216238,58461,8137,83,7806,145898,0,0,13 days 17 hours 36 min 1 sec
138,2020 ago. 23 01:38:33,18 days 16 hours 57 min 30 sec,21 km,228 m,86 cm,216497,58720,8137,83,7811,146452,0,0,13 days 22 hours 32 min 4 sec
139,2020 ago. 24 00:00:42,18 days 21 hours 8 min 17 sec,21 km,562 m,80 cm,219026,59758,8139,91,7883,150270,0,0,14 days 7 hours 53 min 9 sec
140,2020 ago. 25 00:17:33,19 days 21 hours 25 min 8 sec,22 km,377 m,36 cm,233270,62673,8166,102,8165,162375,0,0,15 days 0 hours 56 min 54 sec
141,2020 ago. 26 00:34:33,20 days 21 hours 42 min 8 sec,23 km,275 m,30 cm,239102,65657,8214,103,8560,172742,0,0,15 days 16 hours 39 min 9 sec
142,2020 ago. 27 00:58:33,21 days 22 hours 6 min 8 sec,23 km,976 m,93 cm,243797,67534,8244,104,8793,177405,0,0,16 days 16 hours 53 min 43 sec
143,2020 ago. 28 00:41:58,22 days 21 hours 49 min 33 sec,25 km,163 m,46 cm,251220,72074,8965,106,9695,186338,0,0,17 days 6 hours 26 min 44 sec
144,2020 ago. 29 03:03:46,23 days 15 hours 55 min 1 sec,25 km,876 m,25 cm,260783,75214,9003,108,10162,193142,0,0,18 days 1 hours 16 min 17 sec
145,2020 ago. 30 00:00:27,23 days 20 hours 16 min 26 sec,26 km,0 m,77 cm,262171,77496,9509,108,10520,193949,0,0,18 days 13 hours 29 min 31 sec
146,2020 ago. 31 00:00:41,24 days 8 hours 17 min 46 sec,26 km,159 m,18 cm,263462,78755,9737,111,10679,196255,0,0,19 days 0 hours 1 min 10 sec
